创建新表成功string(44) "1-0-0-安徽安粮国际发展有限公司-1"
string(50) "1-0-0-安徽轻工国际贸易股份有限公司-1"
string(44) "1-0-0-安徽省华安进出口有限公司-1"
string(50) "1-0-0-安徽省技术进出口股份有限公司-1"
string(50) "1-0-0-安徽省服装进出口股份有限公司-1"
string(41) "1-0-0-广东省丝丽集团有限公司-1"
string(53) "1-0-0-福建中设机械设备进出口有限公司-1"
string(44) "1-0-0-广州交易会进出口有限公司-1"
string(44) "1-0-0-广州轻出集团股份有限公司-1"
string(41) "1-0-0-广州德赋汇商贸有限公司-1"
string(50) "1-0-0-安徽华文国际经贸股份有限公司-1"
string(50) "1-0-0-北京倍利可轻工进出口有限公司-1"
string(35) "1-0-0-TCL集团股份有限公司-1"
string(47) "1-0-0-安徽工艺贸易进出口有限公司-1"
string(50) "1-0-0-江苏汇鸿国际集团股份有限公司-1"
string(41) "1-0-0-安徽进出口股份有限公司-2"
string(41) "1-0-0-中国电气进出口有限公司-2"
string(44) "1-0-0-北京隆亦佳进出口有限公司-2"
string(50) "1-0-0-广州市乾信进出口贸易有限公司-2"
string(53) "1-0-0-常州大华进出口（集团）有限公司-2"
string(53) "1-0-0-上海兰生轻工业品进出口有限公司-2"
string(44) "1-0-0-广东柏德企业服务有限公司-2"
string(53) "1-0-0-广东省纺织品进出口股份有限公司-2"
string(47) "1-0-0-广东新安怀电子商务有限公司-2"
string(50) "1-0-0-广州纺织品进出口集团有限公司-2"
string(53) "1-0-0-北京中关村世纪科贸发展有限公司-2"
string(47) "1-0-0-北京中基贸发进出口有限公司-2"
string(38) "1-0-0-广东腾信科技有限公司-2"
string(47) "1-0-0-东莞市东轻电子商务有限公司-2"
string(50) "1-0-0-广东省机械进出口股份有限公司-2"
string(50) "1-0-0-宁波宁兴恒骐国际贸易有限公司-3"
string(41) "1-0-0-广东省外贸开发有限公司-3"
string(38) "1-0-0-中国中丝集团有限公司-3"
string(50) "1-0-0-天津博益恒进出口贸易有限公司-3"
string(44) "1-0-0-上海润容国际贸易有限公司-3"
string(41) "1-0-0-厦门建信进出口有限公司-3"
string(41) "1-0-0-东莞市声强电子有限公司-3"
string(38) "1-0-0-江苏弘业股份有限公司-3"
string(47) "1-0-0-大连凯美进出口集团有限公司-3"
string(41) "1-0-0-苏州恒丰进出口有限公司-3"
string(47) "1-0-0-佛山市永正大进出口有限公司-3"
string(56) "1-0-0-江苏国泰国际集团国贸股份有限公司-3"
string(41) "1-0-0-天津莱特进出口有限公司-3"
string(56) "1-0-0-北京五矿金谷恒信贸易发展有限公司-3"
string(40) "1-0-0-安波电机(宁德)有限公司-3"
string(41) "1-0-0-江苏苏美达集团有限公司-4"
string(44) "1-0-0-中山市光裕进出口有限公司-4"
string(53) "1-0-0-四川省新立新进出口有限责任公司-4"
string(44) "1-0-0-长春光大工业贸易有限公司-4"
string(44) "1-0-0-北京训文科技发展有限公司-4"
string(62) "1-0-0-中国江苏国际经济技术合作集团有限公司-4"
string(50) "1-0-0-江苏苏豪国际集团股份有限公司-4"
string(56) "1-0-0-广东省中山丝绸进出口集团有限公司-4"
string(53) "1-0-0-中国轻工业品进出口集团有限公司-4"
string(50) "1-0-0-广东省轻工进出口股份有限公司-4"
string(44) "1-0-0-上海盈时国际贸易有限公司-4"
string(50) "1-0-0-广州市环领供应链管理有限公司-4"
string(50) "1-0-0-广东省文教体育用品进出口公司-4"
string(47) "1-0-0-广州五金矿产进出口有限公司-4"
string(56) "1-0-0-成都国际经济技术合作股份有限公司-4"
string(35) "1-0-0-安德利集团有限公司-5"
string(50) "1-0-0-广东德豪润达电气股份有限公司-5"
string(32) "1-0-0-汇孚集团有限公司-5"
string(44) "1-0-0-宁波海田控股集团有限公司-5"
string(41) "1-0-0-深圳市开心电子有限公司-5"
